customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cust_81424b9dca2daa2e7c09c774,uniq_867c223b2af832eb6af2d087,93810,Sterling Heights,MI
cust_8f60935fb64a4a334ec14b66,uniq_886c28efca21281f6a4ab34c,24592,Edison,NJ
cust_df5d5fad5c6eb710cd04dbf3,uniq_c9a61035afa619ac7e298bd9,13278,Nashville,TN
cust_bf04b486c93b2a3053252225,uniq_05a257f8ffae418f2114ac50,46048,St. Petersburg,FL
cust_d8e8a4ab8c2cde4940ebe65b,uniq_23e6da0f822203771ce4a1ad,42098,Grand Rapids,MI
cust_fc96b42bb2994c1aab1debb3,uniq_fa2fe5add31b5c4f846bafbf,39256,Akron,OH
cust_d4259b8e7bb5cf3fb0a358c4,uniq_00a35d8aa0cd679f6de7cea9,28289,Austin,TX
cust_9df3841334500cf261a57d01,uniq_0e47d4650f79051a5cb0a796,23434,Carmel,IN
cust_4885ddc8b1f8bdbeae7e110e,uniq_e86aeb92fa3f0db053a767e3,98696,Savannah,GA
cust_7fdd22c01de1a400e6cd8824,uniq_d18aab882baeb90230bc7961,81482,St. Petersburg,FL
cust_e440c9b150dabc3f6d8d8e17,uniq_3213597137a42987f285d19a,21395,Glendale,AZ
cust_72d9ef46a94172682a7b41ec,uniq_e6900888c5b90c7504081bb2,87397,Jacksonville,FL
cust_4a44b537ec527b1a78721354,uniq_d36f55b9939e162a0f6cb7c1,65302,South Bend,IN
cust_7290e356ed1d0d2b9afea90b,uniq_efec3b3ec903cce0ee6acc4b,14165,Winston-Salem,NC
cust_524ec29633dd29c3edf28289,uniq_33196cfe0d6225fa50a46250,13905,Knoxville,TN
cust_42bc0af145695cb74481eb1d,uniq_841d5af69ddb9322667d3523,22280,Orlando,FL
cust_7d9c899126a1b98bb4841ca0,uniq_68aaa62eff04fca7e526d9e3,38657,San Diego,CA
cust_566c76c8ed4c4fd57502a95f,uniq_0f7c7c7ebe5c6c4966de8aec,40495,Orlando,FL
cust_43c81ff74432c9520fb18463,uniq_78c5c22ca8a8f6fc61ac8795,76237,Sacramento,CA
