order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ord_d25ca0e820f231046c70dd33,1,prod_f81e246eb80a8c0d2b147727,sell_8e7a797e599145b265c59456,2025-08-03 20:12:16.220071,552.3,70.27
ord_d25ca0e820f231046c70dd33,2,prod_2a39feb460adb7e5f843aeaf,sell_0a40bb7d39356dd9eaa24d93,2025-07-13 07:42:09.914739,1155.65,116.19
ord_5fa044951857e02fd1347b47,1,prod_9b6f1793388ae983f852d189,sell_34212979d97b6d1a8409a01e,2025-07-19 21:15:46.994884,111.91,9.5
ord_5fa044951857e02fd1347b47,2,prod_c7b5997a4d0061a9f50e874c,sell_4668fb88b81f8d834371c335,2025-07-17 10:00:54.671461,878.42,77.5
ord_0a02a8a1d3d282380ed7d0cc,1,prod_d5f7b6e420ea5cffc504ab21,sell_a9c81e2ceb456688ecf8e944,2025-08-08 16:24:49.849198,1030.31,15.47
ord_0a02a8a1d3d282380ed7d0cc,2,prod_01b00f21c2758bf94f51234f,sell_2d8081195880ffc32896b0cf,2025-07-31 00:03:29.430312,1299.5,232.29
ord_8a243422e3ad7ab97a1fe175,1,prod_a904d724d4b2b8f571e66f19,sell_74a4d7dc6c64cb629f4e06d7,2025-07-18 12:23:13.595408,1307.04,55.16
ord_43b53981d951f855231d09ec,1,prod_496e129d773e9587e8ddc065,sell_6cfe47a34211c0b92f0fd126,2025-07-13 21:00:53.795592,749.83,13.94
ord_e60b1e267fd32d93c4d0745b,1,prod_139fc7c40b163ec81342741e,sell_bcb2c47f4631ff00586f7de0,2025-07-14 01:28:11.006814,361.54,54.65
ord_e60b1e267fd32d93c4d0745b,2,prod_8668b3ebccd7183bae97138a,sell_bc4ff6f9c9f971b8fc9bf8a3,2025-07-26 07:31:46.754270,25.59,2.57
ord_8f99a97d4dc2f959bb04bf49,1,prod_4ca9b758573d3cf8c9a6485a,sell_179db0394d46c039e6d5f653,2025-07-19 22:13:46.393131,22.54,1.95
