order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_00019688dae8e29508c3f20c,1,credit_card,4,39.75
ord_00019688dae8e29508c3f20c,2,paypal,1,39.75
ord_00019688dae8e29508c3f20c,3,credit_card,4,39.75
ord_00019688dae8e29508c3f20c,4,credit_card,4,39.73
ord_000b0ba384942502ce812e24,1,credit_card,1,2628.83
ord_000f9dbf0f772a48a9c06475,1,credit_card,1,124.65
ord_002062b5c3a2e534ce99f898,1,debit_card,1,55.99
ord_00212f7d22a83c72167393d1,1,credit_card,1,533.95
ord_002168363dedb91335a90286,1,paypal,1,277.54
ord_00230c60a6d072c630f46e6d,1,credit_card,1,2438.75
ord_002df6712585222c28ccc2d9,1,debit_card,1,625.16
ord_002df6712585222c28ccc2d9,2,credit_card,3,625.16
ord_002df6712585222c28ccc2d9,3,debit_card,1,625.17
ord_003bb7cfa9677b19f3a47051,1,debit_card,1,12.21
ord_003bb7cfa9677b19f3a47051,2,credit_card,2,12.21
ord_004053d71dc38baed7d9f8d8,1,credit_card,1,85.03
ord_005293b99c886190e9ff31cb,1,credit_card,1,304.17
ord_0053204c35838246c69092ea,1,credit_card,1,222.76
ord_0056c848fae2d9cd517d2fdf,1,debit_card,1,980.54
ord_0056c848fae2d9cd517d2fdf,2,credit_card,2,980.53
ord_0064973e0b68636762f192d1,1,credit_card,1,3005.03
ord_0069cd1de2638ce4a6cf44d4,1,credit_card,1,226.86
ord_007d1ebfb8b8270950682e08,1,gift_card,1,1366.99
ord_007f11f7139154b51d257819,1,credit_card,1,398.54
ord_0088c84fd2cacc9f9ec20551,1,debit_card,1,219.29
ord_008a204419a51b86c9ef0e38,1,credit_card,1,120.39
ord_008d38b29336d0d6e5359d4f,1,credit_card,1,78.62
ord_008e66e29c07e5c1d7f6ba14,1,debit_card,1,881.63
ord_00916c5aabf82245fcc416da,1,credit_card,1,114.03
ord_00a13090a48165cc90a1aad2,1,credit_card,2,331.04
ord_00a13090a48165cc90a1aad2,2,buy_now_pay_later,1,331.05
ord_00ada51795c911b844932550,1,credit_card,1,68.88
ord_00ae4e8ee384e3605a13341d,1,credit_card,1,14.8
ord_00ba2a59fd56539278cd1b1b,1,credit_card,2,32.06
ord_00ba2a59fd56539278cd1b1b,2,debit_card,1,32.06
ord_00c4e1a1538720f1910e1a39,1,paypal,1,1509.52
ord_00ca6c3fa949dd658ec8b322,1,debit_card,1,54.76
ord_00d40da3848acd0fcfefc7dd,1,credit_card,3,205.72
ord_00d40da3848acd0fcfefc7dd,2,buy_now_pay_later,1,205.72
ord_00d40da3848acd0fcfefc7dd,3,debit_card,1,205.71
ord_00d604cc659de98d8897f016,1,buy_now_pay_later,1,941.11
ord_00d6542f14a2c87243873035,1,credit_card,1,1856.45
ord_00e222aa5fefaa2560eddd82,1,credit_card,1,1511.84
ord_00e8e6deaafb4a694bbdcc45,1,credit_card,1,882.39
ord_00e9fac1b9e62af253640ca9,1,debit_card,1,64.91
ord_00e9fac1b9e62af253640ca9,2,credit_card,2,64.91
ord_00eba5d8de978b2ead0c0e38,1,credit_card,1,218.2
ord_00f4f0b66c46e9369de143c5,1,credit_card,3,30.73
ord_00f4f0b66c46e9369de143c5,2,debit_card,1,30.73
ord_00f4f0b66c46e9369de143c5,3,paypal,1,30.73
ord_00f91739d691f4d3a3836ac6,1,credit_card,2,743.36
ord_00f91739d691f4d3a3836ac6,2,credit_card,2,743.36
ord_0109707c21971426962bc296,1,credit_card,2,344.24
ord_0109707c21971426962bc296,2,credit_card,2,344.24
ord_0109921ba64f8e31870e88a3,1,credit_card,2,888.56
ord_0109921ba64f8e31870e88a3,2,credit_card,2,888.56
ord_010dd15c25af2781e2a3dba6,1,credit_card,1,1520.65
ord_0110a889b80caa08d8994c5f,1,credit_card,1,1551.94
ord_01121b581ac0b658665b615a,1,credit_card,3,219.58
ord_01121b581ac0b658665b615a,2,credit_card,3,219.58
ord_01121b581ac0b658665b615a,3,credit_card,3,219.58
ord_0112fba37ec2837572102d15,1,gift_card,1,645.55
ord_0114bd2dc216e87b2670b47a,1,credit_card,3,158.62
