review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
rev_cf66512d243a9c736611db79,ord_0351515bca881662bb2ed0f7,1,Could be better,,2022-12-19 02:54:41.926280,2022-12-25 02:54:41.926280
rev_170b372335a392ab192feece,ord_e18ec5b12e17dd528787bc11,5,Fast shipping,,2023-08-30 23:05:04.074035,
rev_755658f3c51bd2daece5af05,ord_f8f03b749ff67a8545b90fb4,4,Excellent quality,"Road baby sister because top. Also guy still remain design.
Later cultural game newspaper rest professor among. Although grow list young often. Adult significant clear cup.",2022-04-21 00:09:17.844351,
rev_1ccfe45490cc37a378d334c9,ord_ccc664964b9f7efa8de052f4,5,Good value,,2022-07-02 12:40:20.029498,
rev_f4a94b1b7703d836c3a4a6bd,ord_536049e419c0f242aa0a8c00,5,Amazing,"Hotel one last. The whole fast they. Performance buy always.
Maybe government apply although interest all.
Manager social loss opportunity. Point card teacher blood step poor.",2022-12-15 10:21:01.843298,
rev_b38af4e43c4be34019ab36b9,ord_56e582839a54c7e9a0a006cd,3,Disappointed,"Have arrive particular sit guy whatever always.
Why place get eight. Color since maintain likely color sea.
Moment benefit right.",2023-11-17 19:10:40.148738,2023-11-21 19:10:40.148738
rev_fa18604527f7875fe4f7dfb4,ord_8956af2eb4c594dac4606bea,5,Great product!,"Poor ball really their floor. White across society beat as indeed.
Daughter design offer choose. Door point often present. Result peace truth benefit little.",2023-12-05 01:03:01.213010,2023-12-07 01:03:01.213010
rev_e5e9fd8950040795bc2b9a33,ord_ee936b5b92b5e227616a857c,5,Satisfied,"Into organization measure brother.
Government necessary nation feeling until instead fly. Would program order authority trip opportunity.",2022-10-06 22:39:13.958806,
rev_a332dce7eefdd05a8dbd93de,ord_f20f8b514ccc02c5d7349188,3,Poor quality,"Energy suddenly tonight heavy. Middle item expert almost impact growth. Experience experience open party.
Ok reflect deep. Again ever full whose trouble station.",2022-07-26 23:35:24.075923,
rev_85d867c2f49e543ca38d4e4b,ord_bd52f7d6d61dd9df2bc7d300,4,Amazing,End learn medical tough write. Lose whether language subject book. Practice street attack concern research dog.,2024-01-08 01:44:00.691398,
