order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ord_d25ca0e820f231046c70dd33,cust_d6ec876eea63d04ced06e168,canceled,2023-04-24 12:18:14.590086,2023-04-25 00:18:14.590086,,,2023-05-02 00:18:14.590086
ord_5fa044951857e02fd1347b47,cust_2d36e4b647be13c15df550af,delivered,2023-04-24 13:05:32.579655,2023-04-26 02:05:32.579655,2023-04-27 02:05:32.579655,2023-05-01 02:05:32.579655,2023-05-11 02:05:32.579655
ord_0a02a8a1d3d282380ed7d0cc,cust_157f0ea0316c546ac08dae30,delivered,2022-05-15 07:51:22.471390,2022-05-17 01:51:22.471390,2022-05-20 01:51:22.471390,2022-05-23 01:51:22.471390,2022-05-26 01:51:22.471390
ord_8a243422e3ad7ab97a1fe175,cust_bd21648bc4c95ae7aad6bda7,delivered,2022-04-18 15:02:44.122280,2022-04-19 16:02:44.122280,2022-04-22 16:02:44.122280,2022-04-30 16:02:44.122280,2022-04-26 16:02:44.122280
ord_43b53981d951f855231d09ec,cust_e670ce607e4f6aa14935ece0,delivered,2023-12-10 05:13:58.249202,2023-12-10 09:13:58.249202,2023-12-11 09:13:58.249202,2023-12-19 09:13:58.249202,2023-12-18 09:13:58.249202
ord_e60b1e267fd32d93c4d0745b,cust_deec5ec61bd39869531896b3,delivered,2023-04-11 05:42:57.214593,2023-04-11 20:42:57.214593,2023-04-13 20:42:57.214593,2023-04-22 20:42:57.214593,2023-04-20 20:42:57.214593
ord_8f99a97d4dc2f959bb04bf49,cust_279ab313e1be99018fe336de,delivered,2022-03-17 11:02:04.116443,2022-03-17 15:02:04.116443,2022-03-19 15:02:04.116443,2022-03-21 15:02:04.116443,2022-03-25 15:02:04.116443
ord_88c500954f6028bf8f19bdc7,cust_87c9ddbb5ecbf9435dc29cf7,delivered,2023-11-13 05:50:17.595464,2023-11-14 14:50:17.595464,2023-11-16 14:50:17.595464,2023-11-24 14:50:17.595464,2023-11-23 14:50:17.595464
ord_1c2190a0178cd0094d3046e7,cust_588a1d9b71e4765fa0a644e6,delivered,2023-09-06 19:24:29.964166,2023-09-08 17:24:29.964166,2023-09-11 17:24:29.964166,2023-09-17 17:24:29.964166,2023-09-20 17:24:29.964166
ord_10cdbbeb789319cacbe68bda,cust_a58079e5b8e5421f213fb032,delivered,2023-06-14 21:47:08.591966,2023-06-16 06:47:08.591966,2023-06-17 06:47:08.591966,2023-06-18 06:47:08.591966,2023-06-25 06:47:08.591966
ord_5b134b47c940381386a4dd8c,cust_8d19a1e5e847816129d5ea97,delivered,2023-11-27 08:07:28.507737,2023-11-28 06:07:28.507737,2023-11-30 06:07:28.507737,2023-12-10 06:07:28.507737,2023-12-09 06:07:28.507737
ord_15be1a3a66ed5b52666552ce,cust_fe449d1f4ae0c64a0aa9eb41,delivered,2022-02-20 10:53:53.518210,2022-02-21 07:53:53.518210,2022-02-24 07:53:53.518210,2022-03-04 07:53:53.518210,2022-03-08 07:53:53.518210
ord_28ddbb60eaa862ec3706f579,cust_668640a71259d8da84e5b531,delivered,2022-01-24 15:34:54.580276,2022-01-25 17:34:54.580276,2022-01-28 17:34:54.580276,2022-02-03 17:34:54.580276,2022-02-06 17:34:54.580276
ord_f474e5861d8ed4f6f8288914,cust_ba2c458241f0797aea5229d2,delivered,2023-12-19 05:38:14.946440,2023-12-20 14:38:14.946440,2023-12-22 14:38:14.946440,2023-12-31 14:38:14.946440,2024-01-04 14:38:14.946440
ord_06e8aace7b6a7ffe470ddd54,cust_7ae15014b3765c812737cb59,delivered,2023-09-19 19:26:25.356608,2023-09-19 20:26:25.356608,2023-09-20 20:26:25.356608,2023-09-26 20:26:25.356608,2023-09-29 20:26:25.356608
ord_1fd148ad9ae2a0671d5992b0,cust_18da91392a02ac9a41bd61e0,delivered,2022-02-25 12:02:32.583909,2022-02-25 17:02:32.583909,2022-02-28 17:02:32.583909,2022-03-03 17:02:32.583909,2022-03-08 17:02:32.583909
ord_f11fe9b35f8f448ea5f31530,cust_8bfda4be5db50355a8c15e04,delivered,2022-11-24 18:03:53.161342,2022-11-26 11:03:53.161342,2022-11-29 11:03:53.161342,2022-12-07 11:03:53.161342,2022-12-11 11:03:53.161342
